LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
LOS ANGELES,9001164A,1277,88,N, ,VBM PORTION,1138,772,236
LOS ANGELES,9001164A,1277,88,N,2854,TOTAL,1330,883,309
LOS ANGELES,9001175A,1278,217,N, ,POLLING PLACE,286,123,144
LOS ANGELES,9001175A,1278,217,N, ,VBM PORTION,980,613,303
LOS ANGELES,9001175A,1278,217,N,3657,TOTAL,1266,736,447
LOS ANGELES,9001177A,1279,91,N, ,POLLING PLACE,188,95,86
LOS ANGELES,9001177A,1279,91,N, ,VBM PORTION,1012,551,320
LOS ANGELES,9001177A,1279,91,N,2553,TOTAL,1200,646,406
LOS ANGELES,9001180A,6558,144,Y, ,POLLING PLACE,125,60,61
LOS ANGELES,9001180A,6558,144,Y, ,VBM PORTION,788,510,204
LOS ANGELES,9001180A,6558,144,Y,2199,TOTAL,913,570,265
LOS ANGELES,9001187A,1280,89,N, ,POLLING PLACE,217,128,74
LOS ANGELES,9001187A,1280,89,N, ,VBM PORTION,1236,754,306
LOS ANGELES,9001187A,1280,89,N,3945,TOTAL,1453,882,380
LOS ANGELES,9001188A,1281,288,N, ,POLLING PLACE,50,37,9
LOS ANGELES,9001188A,1281,288,N, ,VBM PORTION,110,87,15
LOS ANGELES,9001188A,1281,288,N,1973,TOTAL,160,124,24
LOS ANGELES,9001195A,6559,143,Y, ,POLLING PLACE,89,59,24
LOS ANGELES,9001195A,6559,143,Y, ,VBM PORTION,460,280,129
LOS ANGELES,9001195A,6559,143,Y,1457,TOTAL,549,339,153
LOS ANGELES,9001196A,1282,145,N, ,POLLING PLACE,203,135,58
LOS ANGELES,9001196A,1282,145,N, ,VBM PORTION,931,633,222
LOS ANGELES,9001196A,1282,145,N,3101,TOTAL,1134,768,280
LOS ANGELES,9001199A,1283,146,N, ,POLLING PLACE,245,131,101
LOS ANGELES,9001199A,1283,146,N, ,VBM PORTION,1308,749,370
LOS ANGELES,9001199A,1283,146,N,3583,TOTAL,1553,880,471
LOS ANGELES,9001201A,1284,146,N, ,POLLING PLACE,164,103,54
LOS ANGELES,9001201A,1284,146,N, ,VBM PORTION,842,559,183
LOS ANGELES,9001201A,1284,146,N,2942,TOTAL,1006,662,237
LOS ANGELES,9001210A,1285,175,N, ,POLLING PLACE,119,72,40
LOS ANGELES,9001210A,1285,175,N, ,VBM PORTION,368,250,94
LOS ANGELES,9001210A,1285,175,N,2755,TOTAL,487,322,134
LOS ANGELES,9001212A,6561,152,Y, ,POLLING PLACE,103,59,34
LOS ANGELES,9001212A,6561,152,Y, ,VBM PORTION,646,420,157
LOS ANGELES,9001212A,6561,152,Y,1610,TOTAL,749,479,191
LOS ANGELES,9001226A,1286,152,N, ,POLLING PLACE,228,114,102
LOS ANGELES,9001226A,1286,152,N, ,VBM PORTION,1427,819,451
LOS ANGELES,9001226A,1286,152,N,4268,TOTAL,1655,933,553
LOS ANGELES,9001232A,1287,191,N, ,POLLING PLACE,93,72,16
LOS ANGELES,9001232A,1287,191,N, ,VBM PORTION,411,298,66
LOS ANGELES,9001232A,1287,191,N,2256,TOTAL,504,370,82
LOS ANGELES,9001243A,1288,255,N, ,POLLING PLACE,264,176,76
LOS ANGELES,9001243A,1288,255,N, ,VBM PORTION,805,551,206
LOS ANGELES,9001243A,1288,255,N,3950,TOTAL,1069,727,282
LOS ANGELES,9001256B,1289,157,N, ,POLLING PLACE,246,125,113
LOS ANGELES,9001256B,1289,157,N, ,VBM PORTION,1466,869,462
LOS ANGELES,9001256B,1289,157,N,4223,TOTAL,1712,994,575
LOS ANGELES,9001276A,1290,21,N, ,POLLING PLACE,185,86,80
LOS ANGELES,9001276A,1290,21,N, ,VBM PORTION,526,285,168
LOS ANGELES,9001276A,1290,21,N,2503,TOTAL,711,371,248
LOS ANGELES,9001280A,1291,238,N, ,POLLING PLACE,142,103,34
LOS ANGELES,9001280A,1291,238,N, ,VBM PORTION,569,443,80
LOS ANGELES,9001280A,1291,238,N,3511,TOTAL,711,546,114
LOS ANGELES,9001283A,1292,153,N, ,POLLING PLACE,236,132,86
LOS ANGELES,9001283A,1292,153,N, ,VBM PORTION,1157,760,316
LOS ANGELES,9001283A,1292,153,N,4101,TOTAL,1393,892,402
LOS ANGELES,9001299B,6562,157,Y, ,POLLING PLACE,84,45,35
LOS ANGELES,9001299B,6562,157,Y, ,VBM PORTION,477,295,148
LOS ANGELES,9001299B,6562,157,Y,1559,TOTAL,561,340,183
LOS ANGELES,9001303A,1293,157,N, ,POLLING PLACE,192,125,59
LOS ANGELES,9001303A,1293,157,N, ,VBM PORTION,1229,908,254
LOS ANGELES,9001303A,1293,157,N,4515,TOTAL,1421,1033,313
LOS ANGELES,9001312A,1294,59,N, ,POLLING PLACE,240,115,109
LOS ANGELES,9001312A,1294,59,N, ,VBM PORTION,1219,673,421
LOS ANGELES,9001312A,1294,59,N,3919,TOTAL,1459,788,530
LOS ANGELES,9001317C,1295,59,N, ,POLLING PLACE,159,85,65
LOS ANGELES,9001317C,1295,59,N, ,VBM PORTION,943,620,258
LOS ANGELES,9001317C,1295,59,N,3482,TOTAL,1102,705,323
LOS ANGELES,9001319A,6563,160,Y, ,POLLING PLACE,0,0,0
LOS ANGELES,9001319A,6563,160,Y, ,VBM PORTION,29,11,16
LOS ANGELES,9001319A,6563,160,Y,54,TOTAL,29,11,16
LOS ANGELES,9001320A,6564,246,Y, ,POLLING PLACE,25,15,10
LOS ANGELES,9001320A,6564,246,Y, ,VBM PORTION,138,78,52
LOS ANGELES,9001320A,6564,246,Y,304,TOTAL,163,93,62
LOS ANGELES,9001320B,6565,247,Y, ,POLLING PLACE,8,4,3
LOS ANGELES,9001320B,6565,247,Y, ,VBM PORTION,58,35,13
LOS ANGELES,9001320B,6565,247,Y,146,TOTAL,66,39,16
LOS ANGELES,9001334A,1296,157,N, ,POLLING PLACE,246,84,144
LOS ANGELES,9001334A,1296,157,N, ,VBM PORTION,1396,666,582
LOS ANGELES,9001334A,1296,157,N,4016,TOTAL,1642,750,726
LOS ANGELES,9001345A,1297,239,N, ,POLLING PLACE,187,127,57
LOS ANGELES,9001345A,1297,239,N, ,VBM PORTION,889,659,169
LOS ANGELES,9001345A,1297,239,N,4991,TOTAL,1076,786,226
LOS ANGELES,9001352A,1298,59,N, ,POLLING PLACE,244,83,152
LOS ANGELES,9001352A,1298,59,N, ,VBM PORTION,1392,653,631
LOS ANGELES,9001352A,1298,59,N,4026,TOTAL,1636,736,783
LOS ANGELES,9001364A,1299,59,N, ,POLLING PLACE,268,97,161
LOS ANGELES,9001364A,1299,59,N, ,VBM PORTION,1465,669,661
LOS ANGELES,9001364A,1299,59,N,3825,TOTAL,1733,766,822
LOS ANGELES,9001367B,1300,59,N, ,POLLING PLACE,318,97,205
LOS ANGELES,9001367B,1300,59,N, ,VBM PORTION,1941,858,895
LOS ANGELES,9001367B,1300,59,N,4754,TOTAL,2259,955,1100
LOS ANGELES,9001372A,1301,238,N, ,POLLING PLACE,29,19,5
LOS ANGELES,9001372A,1301,238,N, ,VBM PORTION,63,45,13
LOS ANGELES,9001372A,1301,238,N,1672,TOTAL,92,64,18
LOS ANGELES,9001382A,1302,59,N, ,POLLING PLACE,313,122,172
LOS ANGELES,9001382A,1302,59,N, ,VBM PORTION,1593,744,724
LOS ANGELES,9001382A,1302,59,N,3817,TOTAL,1906,866,896
LOS ANGELES,9001390A,6567,246,Y, ,POLLING PLACE,24,21,3
LOS ANGELES,9001390A,6567,246,Y, ,VBM PORTION,54,44,8
LOS ANGELES,9001390A,6567,246,Y,303,TOTAL,78,65,11
LOS ANGELES,9001408A,1303,59,N, ,POLLING PLACE,173,44,123
LOS ANGELES,9001408A,1303,59,N, ,VBM PORTION,860,383,368
LOS ANGELES,9001408A,1303,59,N,2595,TOTAL,1033,427,491
LOS ANGELES,9001410A,1304,195,N, ,POLLING PLACE,142,80,44
LOS ANGELES,9001410A,1304,195,N, ,VBM PORTION,362,247,85
LOS ANGELES,9001410A,1304,195,N,3031,TOTAL,504,327,129
LOS ANGELES,9001412A,6569,153,Y, ,POLLING PLACE,41,12,25
LOS ANGELES,9001412A,6569,153,Y, ,VBM PORTION,170,81,63
LOS ANGELES,9001412A,6569,153,Y,509,TOTAL,211,93,88
LOS ANGELES,9001413A,6570,153,Y, ,POLLING PLACE,126,52,67
LOS ANGELES,9001413A,6570,153,Y, ,VBM PORTION,442,196,207
LOS ANGELES,9001413A,6570,153,Y,1359,TOTAL,568,248,274
LOS ANGELES,9001422A,1305,146,N, ,POLLING PLACE,152,103,39
LOS ANGELES,9001422A,1305,146,N, ,VBM PORTION,663,477,111
LOS ANGELES,9001422A,1305,146,N,2974,TOTAL,815,580,150
LOS ANGELES,9001424A,1306,234,N, ,POLLING PLACE,73,47,21
LOS ANGELES,9001424A,1306,234,N, ,VBM PORTION,200,130,49
LOS ANGELES,9001424A,1306,234,N,2199,TOTAL,273,177,70
LOS ANGELES,9001428A,1307,148,N, ,POLLING PLACE,157,96,54
LOS ANGELES,9001428A,1307,148,N, ,VBM PORTION,967,681,192
LOS ANGELES,9001428A,1307,148,N,2990,TOTAL,1124,777,246
LOS ANGELES,9001430A,6571,148,Y, ,POLLING PLACE,76,47,25
LOS ANGELES,9001430A,6571,148,Y, ,VBM PORTION,483,332,90
LOS ANGELES,9001430A,6571,148,Y,1480,TOTAL,559,379,115
LOS ANGELES,9001431A,1308,234,N, ,POLLING PLACE,63,48,9
LOS ANGELES,9001431A,1308,234,N, ,VBM PORTION,279,187,55
LOS ANGELES,9001431A,1308,234,N,2511,TOTAL,342,235,64
LOS ANGELES,9001434A,1309,287,N, ,POLLING PLACE,113,67,40
LOS ANGELES,9001434A,1309,287,N, ,VBM PORTION,536,332,117
LOS ANGELES,9001434A,1309,287,N,2888,TOTAL,649,399,157
LOS ANGELES,9001436A,1310,148,N, ,POLLING PLACE,247,149,91
LOS ANGELES,9001436A,1310,148,N, ,VBM PORTION,1093,734,264
LOS ANGELES,9001436A,1310,148,N,3851,TOTAL,1340,883,355
LOS ANGELES,9001438A,1311,211,N, ,POLLING PLACE,195,101,79
LOS ANGELES,9001438A,1311,211,N, ,VBM PORTION,1034,643,242
LOS ANGELES,9001438A,1311,211,N,3986,TOTAL,1229,744,321
LOS ANGELES,9001439C,1312,300,N, ,POLLING PLACE,61,27,29
LOS ANGELES,9001439C,1312,300,N, ,VBM PORTION,247,131,94
LOS ANGELES,9001439C,1312,300,N,2213,TOTAL,308,158,123
LOS ANGELES,9001453A,1313,235,N, ,POLLING PLACE,46,31,10
LOS ANGELES,9001453A,1313,235,N, ,VBM PORTION,202,132,56
LOS ANGELES,9001453A,1313,235,N,2152,TOTAL,248,163,66
LOS ANGELES,9001454A,1314,157,N, ,POLLING PLACE,236,121,105
LOS ANGELES,9001454A,1314,157,N, ,VBM PORTION,1658,1009,524
LOS ANGELES,9001454A,1314,157,N,4848,TOTAL,1894,1130,629
LOS ANGELES,9001459A,1315,306,N, ,POLLING PLACE,353,87,237
LOS ANGELES,9001459A,1315,306,N, ,VBM PORTION,1034,426,481
LOS ANGELES,9001459A,1315,306,N,3322,TOTAL,1387,513,718
LOS ANGELES,9001463A,1316,217,N, ,POLLING PLACE,276,95,156
LOS ANGELES,9001463A,1316,217,N, ,VBM PORTION,1360,629,612
LOS ANGELES,9001463A,1316,217,N,4184,TOTAL,1636,724,768
LOS ANGELES,9001470A,1317,185,N, ,POLLING PLACE,157,93,50
LOS ANGELES,9001470A,1317,185,N, ,VBM PORTION,891,519,203
LOS ANGELES,9001470A,1317,185,N,4018,TOTAL,1048,612,253
LOS ANGELES,9001471A,1318,217,N, ,POLLING PLACE,254,64,175
LOS ANGELES,9001471A,1318,217,N, ,VBM PORTION,1303,536,621
LOS ANGELES,9001471A,1318,217,N,3768,TOTAL,1557,600,796
LOS ANGELES,9001474A,1319,158,N, ,POLLING PLACE,214,94,101
LOS ANGELES,9001474A,1319,158,N, ,VBM PORTION,1302,664,531
LOS ANGELES,9001474A,1319,158,N,2944,TOTAL,1516,758,632
LOS ANGELES,9001476A,1320,158,N, ,POLLING PLACE,241,110,124
LOS ANGELES,9001476A,1320,158,N, ,VBM PORTION,1333,752,468
LOS ANGELES,9001476A,1320,158,N,3338,TOTAL,1574,862,592
LOS ANGELES,9001479B,1321,300,N, ,POLLING PLACE,343,125,197
LOS ANGELES,9001479B,1321,300,N, ,VBM PORTION,1083,572,414
LOS ANGELES,9001479B,1321,300,N,4122,TOTAL,1426,697,611
LOS ANGELES,9001480A,1322,217,N, ,POLLING PLACE,166,80,69
LOS ANGELES,9001480A,1322,217,N, ,VBM PORTION,519,345,131
LOS ANGELES,9001480A,1322,217,N,2223,TOTAL,685,425,200
LOS ANGELES,9001487A,1323,300,N, ,POLLING PLACE,228,62,158
LOS ANGELES,9001487A,1323,300,N, ,VBM PORTION,798,372,341
LOS ANGELES,9001487A,1323,300,N,2449,TOTAL,1026,434,499
LOS ANGELES,9001488B,1324,171,N, ,POLLING PLACE,160,112,45
LOS ANGELES,9001488B,1324,171,N, ,VBM PORTION,708,520,145
LOS ANGELES,9001488B,1324,171,N,3321,TOTAL,868,632,190
LOS ANGELES,9001492A,6572,215,Y, ,POLLING PLACE,99,55,42
LOS ANGELES,9001492A,6572,215,Y, ,VBM PORTION,383,219,104
LOS ANGELES,9001492A,6572,215,Y,1834,TOTAL,482,274,146
LOS ANGELES,9001493A,1325,236,N, ,POLLING PLACE,49,32,15
LOS ANGELES,9001493A,1325,236,N, ,VBM PORTION,234,159,44
LOS ANGELES,9001493A,1325,236,N,2882,TOTAL,283,191,59
LOS ANGELES,9001497A,1326,215,N, ,POLLING PLACE,104,64,37
LOS ANGELES,9001497A,1326,215,N, ,VBM PORTION,720,440,192
LOS ANGELES,9001497A,1326,215,N,2968,TOTAL,824,504,229
LOS ANGELES,9001498A,1327,236,N, ,POLLING PLACE,78,48,25
LOS ANGELES,9001498A,1327,236,N, ,VBM PORTION,247,178,48
LOS ANGELES,9001498A,1327,236,N,2426,TOTAL,325,226,73
LOS ANGELES,9001509C,1328,196,N, ,POLLING PLACE,203,141,41
LOS ANGELES,9001509C,1328,196,N, ,VBM PORTION,674,566,74
LOS ANGELES,9001509C,1328,196,N,4083,TOTAL,877,707,115
LOS ANGELES,9001516A,1329,213,N, ,POLLING PLACE,238,111,121
LOS ANGELES,9001516A,1329,213,N, ,VBM PORTION,1139,674,375
LOS ANGELES,9001516A,1329,213,N,3118,TOTAL,1377,785,496
LOS ANGELES,9001521A,6574,187,Y, ,POLLING PLACE,29,25,2
LOS ANGELES,9001521A,6574,187,Y, ,VBM PORTION,166,127,27
LOS ANGELES,9001521A,6574,187,Y,674,TOTAL,195,152,29
LOS ANGELES,9001532A,1330,214,N, ,POLLING PLACE,158,105,42
LOS ANGELES,9001532A,1330,214,N, ,VBM PORTION,744,513,178
LOS ANGELES,9001532A,1330,214,N,3167,TOTAL,902,618,220
LOS ANGELES,9001533A,6575,214,Y, ,POLLING PLACE,54,32,19
LOS ANGELES,9001533A,6575,214,Y, ,VBM PORTION,313,233,61
LOS ANGELES,9001533A,6575,214,Y,1011,TOTAL,367,265,80
LOS ANGELES,9001541A,6576,188,Y, ,POLLING PLACE,52,35,14
LOS ANGELES,9001541A,6576,188,Y, ,VBM PORTION,212,156,47
LOS ANGELES,9001541A,6576,188,Y,965,TOTAL,264,191,61
LOS ANGELES,9001541C,6577,187,Y, ,POLLING PLACE,11,3,6
LOS ANGELES,9001541C,6577,187,Y, ,VBM PORTION,64,44,10
LOS ANGELES,9001541C,6577,187,Y,155,TOTAL,75,47,16
LOS ANGELES,9001543A,1331,186,N, ,POLLING PLACE,114,74,31
LOS ANGELES,9001543A,1331,186,N, ,VBM PORTION,583,434,77
LOS ANGELES,9001543A,1331,186,N,2975,TOTAL,697,508,108
LOS ANGELES,9001546A,1332,255,N, ,POLLING PLACE,196,119,69
LOS ANGELES,9001546A,1332,255,N, ,VBM PORTION,562,400,131
LOS ANGELES,9001546A,1332,255,N,3035,TOTAL,758,519,200
LOS ANGELES,9001547A,1333,255,N, ,POLLING PLACE,266,163,91
LOS ANGELES,9001547A,1333,255,N, ,VBM PORTION,1005,692,260
LOS ANGELES,9001547A,1333,255,N,3466,TOTAL,1271,855,351
LOS ANGELES,9001549A,1334,255,N, ,POLLING PLACE,167,106,58
LOS ANGELES,9001549A,1334,255,N, ,VBM PORTION,813,535,232
LOS ANGELES,9001549A,1334,255,N,2771,TOTAL,980,641,290
LOS ANGELES,9001560A,1335,213,N, ,POLLING PLACE,258,103,148
LOS ANGELES,9001560A,1335,213,N, ,VBM PORTION,1642,887,650
LOS ANGELES,9001560A,1335,213,N,4163,TOTAL,1900,990,798
LOS ANGELES,9001563A,1336,236,N, ,POLLING PLACE,58,42,12
LOS ANGELES,9001563A,1336,236,N, ,VBM PORTION,190,142,34
LOS ANGELES,9001563A,1336,236,N,2414,TOTAL,248,184,46
LOS ANGELES,9001565A,1337,213,N, ,POLLING PLACE,260,135,115
LOS ANGELES,9001565A,1337,213,N, ,VBM PORTION,1372,894,393
LOS ANGELES,9001565A,1337,213,N,4019,TOTAL,1632,1029,508
LOS ANGELES,9001569A,1338,213,N, ,POLLING PLACE,276,126,137
LOS ANGELES,9001569A,1338,213,N, ,VBM PORTION,1653,948,597
LOS ANGELES,9001569A,1338,213,N,4433,TOTAL,1929,1074,734
LOS ANGELES,9001574A,1339,231,N, ,POLLING PLACE,50,34,14
LOS ANGELES,9001574A,1339,231,N, ,VBM PORTION,214,145,41
LOS ANGELES,9001574A,1339,231,N,2309,TOTAL,264,179,55
LOS ANGELES,9001575A,1340,148,N, ,POLLING PLACE,216,145,63
LOS ANGELES,9001575A,1340,148,N, ,VBM PORTION,791,575,139
LOS ANGELES,9001575A,1340,148,N,3316,TOTAL,1007,720,202
LOS ANGELES,9001577A,1341,175,N, ,POLLING PLACE,168,114,44
LOS ANGELES,9001577A,1341,175,N, ,VBM PORTION,727,499,192
LOS ANGELES,9001577A,1341,175,N,2877,TOTAL,895,613,236
LOS ANGELES,9001578A,1342,149,N, ,POLLING PLACE,155,115,33
LOS ANGELES,9001578A,1342,149,N, ,VBM PORTION,485,340,77
LOS ANGELES,9001578A,1342,149,N,3119,TOTAL,640,455,110
LOS ANGELES,9001590A,1343,196,N, ,POLLING PLACE,127,90,33
LOS ANGELES,9001590A,1343,196,N, ,VBM PORTION,397,312,52
LOS ANGELES,9001590A,1343,196,N,3167,TOTAL,524,402,85
LOS ANGELES,9001591A,1344,234,N, ,POLLING PLACE,48,32,12
LOS ANGELES,9001591A,1344,234,N, ,VBM PORTION,177,115,48
LOS ANGELES,9001591A,1344,234,N,2212,TOTAL,225,147,60
LOS ANGELES,9001592A,1345,189,N, ,POLLING PLACE,87,51,23
LOS ANGELES,9001592A,1345,189,N, ,VBM PORTION,256,183,50
LOS ANGELES,9001592A,1345,189,N,1968,TOTAL,343,234,73
LOS ANGELES,9001604A,1346,300,N, ,POLLING PLACE,109,44,59
LOS ANGELES,9001604A,1346,300,N, ,VBM PORTION,242,134,84
LOS ANGELES,9001604A,1346,300,N,2823,TOTAL,351,178,143
LOS ANGELES,9001605A,1347,148,N, ,POLLING PLACE,293,188,99
LOS ANGELES,9001605A,1347,148,N, ,VBM PORTION,1549,1022,350
LOS ANGELES,9001605A,1347,148,N,4899,TOTAL,1842,1210,449
LOS ANGELES,9001608A,1348,139,N, ,POLLING PLACE,223,73,142
LOS ANGELES,9001608A,1348,139,N, ,VBM PORTION,1107,590,395
LOS ANGELES,9001608A,1348,139,N,3351,TOTAL,1330,663,537
LOS ANGELES,9001614A,6578,226,Y, ,POLLING PLACE,46,25,12
LOS ANGELES,9001614A,6578,226,Y, ,VBM PORTION,174,126,27
LOS ANGELES,9001614A,6578,226,Y,1667,TOTAL,220,151,39
LOS ANGELES,9001620A,6579,189,Y, ,POLLING PLACE,10,7,3
LOS ANGELES,9001620A,6579,189,Y, ,VBM PORTION,139,99,24
LOS ANGELES,9001620A,6579,189,Y,452,TOTAL,149,106,27
LOS ANGELES,9001621B,6580,141,Y, ,POLLING PLACE,14,9,5
LOS ANGELES,9001621B,6580,141,Y, ,VBM PORTION,84,57,16
LOS ANGELES,9001621B,6580,141,Y,218,TOTAL,98,66,21
LOS ANGELES,9001622A,1349,202,N, ,POLLING PLACE,161,96,59
LOS ANGELES,9001622A,1349,202,N, ,VBM PORTION,776,509,217
LOS ANGELES,9001622A,1349,202,N,3611,TOTAL,937,605,276
LOS ANGELES,9001624B,6581,139,Y, ,POLLING PLACE,98,53,35
LOS ANGELES,9001624B,6581,139,Y, ,VBM PORTION,475,278,139
LOS ANGELES,9001624B,6581,139,Y,1342,TOTAL,573,331,174
LOS ANGELES,9001625A,6582,140,Y, ,POLLING PLACE,22,11,10
LOS ANGELES,9001625A,6582,140,Y, ,VBM PORTION,108,60,32
LOS ANGELES,9001625A,6582,140,Y,304,TOTAL,130,71,42
LOS ANGELES,9001629A,6583,185,Y, ,POLLING PLACE,17,13,2
LOS ANGELES,9001629A,6583,185,Y, ,VBM PORTION,226,131,34
LOS ANGELES,9001629A,6583,185,Y,767,TOTAL,243,144,36
LOS ANGELES,9001631A,6584,186,Y, ,POLLING PLACE,107,63,31
LOS ANGELES,9001631A,6584,186,Y, ,VBM PORTION,432,276,90
LOS ANGELES,9001631A,6584,186,Y,2012,TOTAL,539,339,121
LOS ANGELES,9001635B,1350,186,N, ,POLLING PLACE,90,70,17
LOS ANGELES,9001635B,1350,186,N, ,VBM PORTION,458,336,68
LOS ANGELES,9001635B,1350,186,N,2373,TOTAL,548,406,85
LOS ANGELES,9001642A,1351,288,N, ,POLLING PLACE,84,49,32
LOS ANGELES,9001642A,1351,288,N, ,VBM PORTION,389,261,79
LOS ANGELES,9001642A,1351,288,N,2582,TOTAL,473,310,111
LOS ANGELES,9001647A,6585,147,Y, ,POLLING PLACE,97,75,16
LOS ANGELES,9001647A,6585,147,Y, ,VBM PORTION,569,431,64
LOS ANGELES,9001647A,6585,147,Y,1961,TOTAL,666,506,80
LOS ANGELES,9001650A,1352,300,N, ,POLLING PLACE,133,56,70
LOS ANGELES,9001650A,1352,300,N, ,VBM PORTION,279,166,92
LOS ANGELES,9001650A,1352,300,N,2477,TOTAL,412,222,162
LOS ANGELES,9001662A,1353,300,N, ,POLLING PLACE,131,62,57
LOS ANGELES,9001662A,1353,300,N, ,VBM PORTION,398,225,134
LOS ANGELES,9001662A,1353,300,N,3008,TOTAL,529,287,191
LOS ANGELES,9001665A,1354,91,N, ,POLLING PLACE,297,144,139
LOS ANGELES,9001665A,1354,91,N, ,VBM PORTION,1615,1036,401
LOS ANGELES,9001665A,1354,91,N,5012,TOTAL,1912,1180,540
LOS ANGELES,9001666A,1355,91,N, ,POLLING PLACE,227,138,80
LOS ANGELES,9001666A,1355,91,N, ,VBM PORTION,1317,840,317
LOS ANGELES,9001666A,1355,91,N,4509,TOTAL,1544,978,397
LOS ANGELES,9001676A,1356,300,N, ,POLLING PLACE,154,62,83
LOS ANGELES,9001676A,1356,300,N, ,VBM PORTION,356,212,121
LOS ANGELES,9001676A,1356,300,N,2876,TOTAL,510,274,204
LOS ANGELES,9001678A,1357,196,N, ,POLLING PLACE,116,91,18
LOS ANGELES,9001678A,1357,196,N, ,VBM PORTION,513,402,60
LOS ANGELES,9001678A,1357,196,N,3107,TOTAL,629,493,78
LOS ANGELES,9001695A,1358,102,N, ,POLLING PLACE,81,29,49
LOS ANGELES,9001695A,1358,102,N, ,VBM PORTION,455,243,168
LOS ANGELES,9001695A,1358,102,N,1929,TOTAL,536,272,217
LOS ANGELES,9001696B,1359,300,N, ,POLLING PLACE,75,37,34
LOS ANGELES,9001696B,1359,300,N, ,VBM PORTION,234,129,89
LOS ANGELES,9001696B,1359,300,N,2366,TOTAL,309,166,123
LOS ANGELES,9001701B,1360,300,N, ,POLLING PLACE,80,36,37
LOS ANGELES,9001701B,1360,300,N, ,VBM PORTION,238,135,85
LOS ANGELES,9001701B,1360,300,N,2106,TOTAL,318,171,122
LOS ANGELES,9001711A,1361,206,N, ,POLLING PLACE,151,101,47
LOS ANGELES,9001711A,1361,206,N, ,VBM PORTION,826,568,169
LOS ANGELES,9001711A,1361,206,N,2638,TOTAL,977,669,216
LOS ANGELES,9001716A,1362,206,N, ,POLLING PLACE,129,77,40
LOS ANGELES,9001716A,1362,206,N, ,VBM PORTION,713,449,177
LOS ANGELES,9001716A,1362,206,N,2845,TOTAL,842,526,217
LOS ANGELES,9001719A,1363,234,N, ,POLLING PLACE,64,48,12
LOS ANGELES,9001719A,1363,234,N, ,VBM PORTION,195,143,30
LOS ANGELES,9001719A,1363,234,N,2289,TOTAL,259,191,42
LOS ANGELES,9001720A,1364,206,N, ,POLLING PLACE,99,73,17
LOS ANGELES,9001720A,1364,206,N, ,VBM PORTION,398,245,97
LOS ANGELES,9001720A,1364,206,N,2531,TOTAL,497,318,114
LOS ANGELES,9001724B,1365,206,N, ,POLLING PLACE,105,71,24
LOS ANGELES,9001724B,1365,206,N, ,VBM PORTION,398,282,69
LOS ANGELES,9001724B,1365,206,N,2608,TOTAL,503,353,93
LOS ANGELES,9001725A,1366,206,N, ,POLLING PLACE,100,56,34
LOS ANGELES,9001725A,1366,206,N, ,VBM PORTION,459,304,100
LOS ANGELES,9001725A,1366,206,N,2468,TOTAL,559,360,134
LOS ANGELES,9001727A,6586,288,Y, ,POLLING PLACE,45,30,10
LOS ANGELES,9001727A,6586,288,Y, ,VBM PORTION,165,117,24
LOS ANGELES,9001727A,6586,288,Y,1542,TOTAL,210,147,34
LOS ANGELES,9001728A,1367,288,N, ,POLLING PLACE,73,41,28
LOS ANGELES,9001728A,1367,288,N, ,VBM PORTION,337,214,70
LOS ANGELES,9001728A,1367,288,N,1958,TOTAL,410,255,98
LOS ANGELES,9001729A,1368,206,N, ,POLLING PLACE,180,104,64
LOS ANGELES,9001729A,1368,206,N, ,VBM PORTION,763,502,134
LOS ANGELES,9001729A,1368,206,N,3442,TOTAL,943,606,198
LOS ANGELES,9001734A,1369,300,N, ,POLLING PLACE,55,27,24
LOS ANGELES,9001734A,1369,300,N, ,VBM PORTION,164,102,37
LOS ANGELES,9001734A,1369,300,N,1602,TOTAL,219,129,61
LOS ANGELES,9001737A,1370,148,N, ,POLLING PLACE,75,62,12
LOS ANGELES,9001737A,1370,148,N, ,VBM PORTION,357,292,29
LOS ANGELES,9001737A,1370,148,N,2081,TOTAL,432,354,41
LOS ANGELES,9001739A,1371,233,N, ,POLLING PLACE,72,41,28
LOS ANGELES,9001739A,1371,233,N, ,VBM PORTION,265,162,76
LOS ANGELES,9001739A,1371,233,N,1791,TOTAL,337,203,104
LOS ANGELES,9001754A,1372,19,N, ,POLLING PLACE,263,81,168
LOS ANGELES,9001754A,1372,19,N, ,VBM PORTION,984,441,445
LOS ANGELES,9001754A,1372,19,N,3546,TOTAL,1247,522,613
LOS ANGELES,9001755A,1373,205,N, ,POLLING PLACE,96,64,28
LOS ANGELES,9001755A,1373,205,N, ,VBM PORTION,228,153,53
LOS ANGELES,9001755A,1373,205,N,2434,TOTAL,324,217,81
LOS ANGELES,9001756A,6587,140,Y, ,POLLING PLACE,98,59,35
LOS ANGELES,9001756A,6587,140,Y, ,VBM PORTION,622,382,164
LOS ANGELES,9001756A,6587,140,Y,2101,TOTAL,720,441,199
LOS ANGELES,9001757A,1374,232,N, ,POLLING PLACE,112,82,20
LOS ANGELES,9001757A,1374,232,N, ,VBM PORTION,217,151,48
LOS ANGELES,9001757A,1374,232,N,2168,TOTAL,329,233,68
LOS ANGELES,9001758A,6588,108,Y, ,POLLING PLACE,84,38,40
